Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Long-term Visual Outcomes Comparing Descemet Stripping Automated Endothelial Keratoplasty and Penetrating Keratoplasty.","/pubmed/28739420","Fuest M, Ang M, Htoon HM, Tan D, Mehta JS.","Am J Ophthalmol. 2017 Oct;182:62-71. doi: 10.1016/j.ajo.2017.07.014. Epub 2017 Jul 21.","Am J Ophthalmol.  2017","PubMed","citation","PMID:28739420","pubmed","28739420","create date:2017/07/26 | first author:Fuest M",
"Dietary fatty acids were not independently associated with lipoprotein subclasses in elderly women.","/pubmed/28739055","Alaghehband FR, Lankinen M, Värri M, Sirola J, Kröger H, Erkkilä AT.","Nutr Res. 2017 Jul;43:60-68. doi: 10.1016/j.nutres.2017.05.014. Epub 2017 May 24.","Nutr Res.  2017","PubMed","citation","PMID:28739055","pubmed","28739055","create date:2017/07/26 | first author:Alaghehband FR",
"Effects of Self-management Education Through Telephone Follow-up in Diabetic Patients.","/pubmed/28738397","Namjoo Nasab M, Ghavam A, Yazdanpanah A, Jahangir F, Shokrpour N.","Health Care Manag (Frederick). 2017 Jul/Sep;36(3):273-281. doi: 10.1097/HCM.0000000000000172.","Health Care Manag (Frederick).  2017","PubMed","citation","PMID:28738397","pubmed","28738397","create date:2017/07/25 | first author:Namjoo Nasab M",
"Confronting Compassion Fatigue: Assessment and Intervention in Inpatient Oncology .","/pubmed/28738029","Zajac LM, Moran KJ, Groh CJ.","Clin J Oncol Nurs. 2017 Aug 1;21(4):446-453. doi: 10.1188/17.CJON.446-453.","Clin J Oncol Nurs.  2017","PubMed","citation","PMID:28738029","pubmed","28738029","create date:2017/07/25 | first author:Zajac LM",
"Secukinumab improves scalp pain, itching, scaling and quality of life in patients with moderate-to-severe scalp psoriasis.","/pubmed/28737440","Feldman SR, Green L, Kimball AB, Siu K, Zhao Y, Herrera V, Nyirady J, Alexis AF.","J Dermatolog Treat. 2017 Dec;28(8):716-721. doi: 10.1080/09546634.2017.1329502. Epub 2017 Aug 3.","J Dermatolog Treat.  2017","PubMed","citation","PMID:28737440","pubmed","28737440","create date:2017/07/25 | first author:Feldman SR",
"Does prolonged grief treatment foster posttraumatic growth? Secondary results from a treatment study with long-term follow-up and mediation analysis.","/pubmed/28737261","Bartl H, Hagl M, Kotoučová M, Pfoh G, Rosner R.","Psychol Psychother. 2018 Mar;91(1):27-41. doi: 10.1111/papt.12140. Epub 2017 Jul 24.","Psychol Psychother.  2018","PubMed","citation","PMID:28737261","pubmed","28737261","create date:2017/07/25 | first author:Bartl H",
"The Influence of Black Identity on Wellbeing and Health Behaviors.","/pubmed/28733773","Lewis FB, Boutrin MC, Dalrymple L, McNeill LH.","J Racial Ethn Health Disparities. 2018 Jun;5(3):671-681. doi: 10.1007/s40615-017-0412-7. Epub 2017 Jul 21.","J Racial Ethn Health Disparities.  2018","PubMed","citation","PMID:28733773","pubmed","28733773","create date:2017/07/25 | first author:Lewis FB",
"Focal Cerebral Arteriopathy: Do Steroids Improve Outcome?","/pubmed/28733481","Steinlin M, Bigi S, Stojanovski B, Gajera J, Regényi M, El-Koussy M, Mackay MT; Swiss NeuroPediatric Stroke Registry..","Stroke. 2017 Sep;48(9):2375-2382. doi: 10.1161/STROKEAHA.117.016818. Epub 2017 Jul 21.","Stroke.  2017","PubMed","citation","PMID:28733481","pubmed","28733481","create date:2017/07/25 | first author:Steinlin M",
"Association of glycaemic index and glycaemic load with metabolic syndrome in an Iranian adult population: Isfahan Healthy Heart Program.","/pubmed/28731561","Mohammadifard N, Mansourian M, Sajjadi F, Maghroun M, Pourmoghaddas A, Yazdekhasti N, Sarrafzadegan N.","Nutr Diet. 2017 Feb;74(1):61-66. doi: 10.1111/1747-0080.12288. Epub 2016 Jul 12.","Nutr Diet.  2017","PubMed","citation","PMID:28731561","pubmed","28731561","create date:2017/07/22 | first author:Mohammadifard N",
"Levels of serum biomarkers from a two-year multicentre trial are associated with treatment response on knee osteoarthritis cartilage loss as assessed by magnetic resonance imaging: an exploratory study.","/pubmed/28728606","Martel-Pelletier J, Raynauld JP, Mineau F, Abram F, Paiement P, Delorme P, Pelletier JP.","Arthritis Res Ther. 2017 Jul 20;19(1):169. doi: 10.1186/s13075-017-1377-y.","Arthritis Res Ther.  2017","PubMed","citation","PMID:28728606 | PMCID:PMC5520291","pubmed","28728606","create date:2017/07/22 | first author:Martel-Pelletier J",
"Age explains limited hip extension recovery at one year from total hip arthroplasty.","/pubmed/28728076","Mazzoli D, Giannotti E, Longhi M, Prati P, Masiero S, Merlo A.","Clin Biomech (Bristol, Avon). 2017 Oct;48:35-41. doi: 10.1016/j.clinbiomech.2017.07.003. Epub 2017 Jul 5.","Clin Biomech (Bristol, Avon).  2017","PubMed","citation","PMID:28728076","pubmed","28728076","create date:2017/07/21 | first author:Mazzoli D",
"Growth and Nutritional Biomarkers of Preterm Infants Fed a New Powdered Human Milk Fortifier: A Randomized Trial.","/pubmed/28727654","Rigo J, Hascoët JM, Billeaud C, Picaud JC, Mosca F, Rubio A, Saliba E, Radkë M, Simeoni U, Guillois B, de Halleux V, Jaeger J, Ameye L, Hays NP, Spalinger J.","J Pediatr Gastroenterol Nutr. 2017 Oct;65(4):e83-e93. doi: 10.1097/MPG.0000000000001686.","J Pediatr Gastroenterol Nutr.  2017","PubMed","citation","PMID:28727654 | PMCID:PMC5625962","pubmed","28727654","create date:2017/07/21 | first author:Rigo J",
"Impact of a lay-led home-based intervention programme on quality of life in community-dwelling pre-frail and frail older adults: a randomized controlled trial.","/pubmed/28724351","Kapan A, Winzer E, Haider S, Titze S, Schindler K, Lackinger C, Dorner TE.","BMC Geriatr. 2017 Jul 19;17(1):154. doi: 10.1186/s12877-017-0548-7.","BMC Geriatr.  2017","PubMed","citation","PMID:28724351 | PMCID:PMC5517808","pubmed","28724351","create date:2017/07/21 | first author:Kapan A",
"Effectiveness of Group Training of Assertiveness on Social Anxiety among Deaf and Hard of Hearing Adolescents.","/pubmed/28723596","Ahmadi H, Daramadi PS, Asadi-Samani M, Givtaj H, Sani MRM.","Int Tinnitus J. 2017 Jun 1;21(1):14-20. doi: 10.5935/0946-5448.20170004.","Int Tinnitus J.  2017","PubMed","citation","PMID:28723596","pubmed","28723596","create date:2017/07/21 | first author:Ahmadi H",
"Protocol for an online randomised controlled trial to evaluate the clinical and cost-effectiveness of a peer-supported self-management intervention for relatives of people with psychosis or bipolar disorder: Relatives Education And Coping Toolkit (REACT).","/pubmed/28720617","Lobban F, Robinson H, Appelbe D, Barraclough J, Bedson E, Collinge L, Dodd S, Flowers S, Honary M, Johnson S, Mateus C, Mezes B, Minns V, Murray E, Walker A, Williamson P, Wintermeyer C, Jones S.","BMJ Open. 2017 Jul 18;7(7):e016965. doi: 10.1136/bmjopen-2017-016965. Erratum in: BMJ Open. 2017 Sep 3;7(9):e016965corr1. ","BMJ Open.  2017","PubMed","citation","PMID:28720617 | PMCID:PMC5541455","pubmed","28720617","create date:2017/07/20 | first author:Lobban F",
"Metacognitive profiles in schizophrenia and bipolar disorder: Comparisons with healthy controls and correlations with negative symptoms.","/pubmed/28719831","Popolo R, Smith E, Lysaker PH, Lestingi K, Cavallo F, Melchiorre L, Santone C, Dimaggio G.","Psychiatry Res. 2017 Nov;257:45-50. doi: 10.1016/j.psychres.2017.07.022. Epub 2017 Jul 11.","Psychiatry Res.  2017","PubMed","citation","PMID:28719831","pubmed","28719831","create date:2017/07/19 | first author:Popolo R",
"Chronic antiepileptic drug use and functional network efficiency: A functional magnetic resonance imaging study.","/pubmed/28717415","van Veenendaal TM, IJff DM, Aldenkamp AP, Lazeron RHC, Hofman PAM, de Louw AJA, Backes WH, Jansen JFA.","World J Radiol. 2017 Jun 28;9(6):287-294. doi: 10.4329/wjr.v9.i6.287.","World J Radiol.  2017","PubMed","citation","PMID:28717415 | PMCID:PMC5491656","pubmed","28717415","create date:2017/07/19 | first author:van Veenendaal TM",
"Greater Progression of Age-Related Aortic Stiffening in Adults with Poor Trunk Flexibility: A 5-Year Longitudinal Study.","/pubmed/28713284","Gando Y, Murakami H, Yamamoto K, Kawakami R, Ohno H, Sawada SS, Miyatake N, Miyachi M.","Front Physiol. 2017 Jun 30;8:454. doi: 10.3389/fphys.2017.00454. eCollection 2017.","Front Physiol.  2017","PubMed","citation","PMID:28713284 | PMCID:PMC5491599","pubmed","28713284","create date:2017/07/18 | first author:Gando Y",
"Is a SIMPLe smartphone application capable of improving biological rhythms in bipolar disorder?","/pubmed/28711743","Hidalgo-Mazzei D, Reinares M, Mateu A, Juruena MF, Young AH, Pérez-Sola V, Vieta E, Colom F.","J Affect Disord. 2017 Dec 1;223:10-16. doi: 10.1016/j.jad.2017.07.028. Epub 2017 Jul 10.","J Affect Disord.  2017","PubMed","citation","PMID:28711743","pubmed","28711743","create date:2017/07/18 | first author:Hidalgo-Mazzei D",
"Novel measure of autonomic remodeling associated with sudden cardiac arrest in diabetes.","/pubmed/28711633","Yang Y, Aro AL, Nair SG, Jayaraman R, Reinier K, Rusinaru C, Uy-Evanado A, Yarmohammadi H, Jui J, Chugh SS.","Heart Rhythm. 2017 Oct;14(10):1449-1455. doi: 10.1016/j.hrthm.2017.07.011. Epub 2017 Jul 13.","Heart Rhythm.  2017","PubMed","citation","PMID:28711633 | PMCID:PMC5624843","pubmed","28711633","create date:2017/07/18 | first author:Yang Y",
"A novel study on association between untreated hearing loss and cognitive functions of older adults: Baseline non-verbal cognitive assessment results.","/pubmed/28710824","Jayakody DMP, Friedland PL, Eikelboom RH, Martins RN, Sohrabi HR.","Clin Otolaryngol. 2018 Feb;43(1):182-191. doi: 10.1111/coa.12937. Epub 2017 Aug 1.","Clin Otolaryngol.  2018","PubMed","citation","PMID:28710824","pubmed","28710824","create date:2017/07/16 | first author:Jayakody DMP",
"Effects of high-intensity aerobic interval training on cardiovascular disease risk in testicular cancer survivors: A phase 2 randomized controlled trial.","/pubmed/28708930","Adams SC, DeLorey DS, Davenport MH, Stickland MK, Fairey AS, North S, Szczotka A, Courneya KS.","Cancer. 2017 Oct 15;123(20):4057-4065. doi: 10.1002/cncr.30859. Epub 2017 Jul 14.","Cancer.  2017","PubMed","citation","PMID:28708930","pubmed","28708930","create date:2017/07/15 | first author:Adams SC",
"Tumor spatial heterogeneity in myxoid-containing soft tissue using texture analysis of diffusion-weighted MRI.","/pubmed/28708850","Kim HS, Kim JH, Yoon YC, Choe BK.","PLoS One. 2017 Jul 14;12(7):e0181339. doi: 10.1371/journal.pone.0181339. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28708850 | PMCID:PMC5510859","pubmed","28708850","create date:2017/07/15 | first author:Kim HS",
"Comparison of the outcomes of robotic cholecystectomy and laparoscopic cholecystectomy.","/pubmed/28706888","Lee EK, Park E, Oh WO, Shin NM.","Ann Surg Treat Res. 2017 Jul;93(1):27-34. doi: 10.4174/astr.2017.93.1.27. Epub 2017 Jun 26. Erratum in: Ann Surg Treat Res. 2017 Oct;93(4):229. ","Ann Surg Treat Res.  2017","PubMed","citation","PMID:28706888 | PMCID:PMC5507788","pubmed","28706888","create date:2017/07/15 | first author:Lee EK",
"[Development and Effects of an Instructional Coaching Program Regarding Children with Attention Deficit Hyperactivity Disorder for Elementary School Teachers].","/pubmed/28706166","Park SJ, Park WJ.","J Korean Acad Nurs. 2017 Jun;47(3):305-318. doi: 10.4040/jkan.2017.47.3.305. Korean. ","J Korean Acad Nurs.  2017","PubMed","citation","PMID:28706166","pubmed","28706166","create date:2017/07/15 | first author:Park SJ",
"Effects of Active Videogame and Sports, Play, and Active Recreation for Kids Physical Education on Children's Health-Related Fitness and Enjoyment.","/pubmed/28704072","Chen H, Sun H.","Games Health J. 2017 Oct;6(5):312-318. doi: 10.1089/g4h.2017.0001. Epub 2017 Jul 13.","Games Health J.  2017","PubMed","citation","PMID:28704072","pubmed","28704072","create date:2017/07/14 | first author:Chen H",
"Scaling children's waist circumference for differences in body size.","/pubmed/28699696","Nevill AM, Duncan MJ, Lahart IM, Davies P, Ramirez-Velez R, Sandercock G.","Am J Hum Biol. 2017 Nov;29(6). doi: 10.1002/ajhb.23037. Epub 2017 Jul 12.","Am J Hum Biol.  2017","PubMed","citation","PMID:28699696","pubmed","28699696","create date:2017/07/13 | first author:Nevill AM",
"MiYoga: a randomised controlled trial of a mindfulness movement programme based on hatha yoga principles for children with cerebral palsy: a study protocol.","/pubmed/28698326","Mak C, Whittingham K, Cunnington R, Boyd RN.","BMJ Open. 2017 Jul 10;7(7):e015191. doi: 10.1136/bmjopen-2016-015191.","BMJ Open.  2017","PubMed","citation","PMID:28698326 | PMCID:PMC5541628","pubmed","28698326","create date:2017/07/13 | first author:Mak C",
"Patellar and Achilles tendinopathies are predominantly peripheral pain states: a blinded case control study of somatosensory and psychological profiles.","/pubmed/28698221","Plinsinga ML, van Wilgen CP, Brink MS, Vuvan V, Stephenson A, Heales LJ, Mellor R, Coombes BK, Vicenzino BT.","Br J Sports Med. 2018 Mar;52(5):284-291. doi: 10.1136/bjsports-2016-097163. Epub 2017 Jul 11.","Br J Sports Med.  2018","PubMed","citation","PMID:28698221","pubmed","28698221","create date:2017/07/13 | first author:Plinsinga ML",
"Longitudinal change in thigh muscle strength prior to and concurrent with symptomatic and radiographic knee osteoarthritis progression: data from the Osteoarthritis Initiative.","/pubmed/28698106","Kemnitz J, Wirth W, Eckstein F, Ruhdorfer A, Culvenor AG.","Osteoarthritis Cartilage. 2017 Oct;25(10):1633-1640. doi: 10.1016/j.joca.2017.07.003. Epub 2017 Jul 8.","Osteoarthritis Cartilage.  2017","PubMed","citation","PMID:28698106","pubmed","28698106","create date:2017/07/13 | first author:Kemnitz J",
"Relationship Between Body Mass Index, ApoE4 Status, and PET-Based Amyloid and Neurodegeneration Markers in Amyloid-Positive Subjects with Normal Cognition or Mild Cognitive Impairment.","/pubmed/28697560","Blautzik J, Kotz S, Brendel M, Sauerbeck J, Vettermann F, Winter Y, Bartenstein P, Ishii K, Rominger A; Alzheimer’s Disease Neuroimaging Initiative..","J Alzheimers Dis. 2018;65(3):781-791. doi: 10.3233/JAD-170064.","J Alzheimers Dis.  2018","PubMed","citation","PMID:28697560","pubmed","28697560","create date:2017/07/13 | first author:Blautzik J",
"Loss of skeletal muscle mass and its predictors in type 2 diabetes patients under a multifaceted treatment approach.","/pubmed/30603342","Ohara N, Minami I, Bouchi R, Izumiyama H, Hashimoto K, Yoshimoto T, Ogawa Y.","Diabetol Int. 2017 Jul 13;8(4):366-374. doi: 10.1007/s13340-017-0325-z. eCollection 2017 Nov.","Diabetol Int.  2017","PubMed","citation","PMID:30603342 | PMCID:PMC6224915","pubmed","30603342","create date:2017/07/13 | first author:Ohara N",
"Effect of Intravenous Fluids and Analgesia on Dysmotility in Patients With Acute Pancreatitis: A Prospective Cohort Study.","/pubmed/28697124","Wu LM, Pendharkar SA, Asrani VM, Windsor JA, Petrov MS.","Pancreas. 2017 Aug;46(7):858-866. doi: 10.1097/MPA.0000000000000864.","Pancreas.  2017","PubMed","citation","PMID:28697124","pubmed","28697124","create date:2017/07/12 | first author:Wu LM",
"A mixed methods study to evaluate the feasibility of using the Adolescent Diabetes Needs Assessment Tool App in paediatric diabetes care in preparation for a longitudinal cohort study.","/pubmed/28694992","Cooper H, Lancaster GA, Gichuru P, Peak M.","Pilot Feasibility Stud. 2017 Jul 6;4:13. doi: 10.1186/s40814-017-0164-5. eCollection 2018. Erratum in: Pilot Feasibility Stud. 2017 Oct 24;3:48. ","Pilot Feasibility Stud.  2018","PubMed","citation","PMID:28694992 | PMCID:PMC5501574","pubmed","28694992","create date:2017/07/12 | first author:Cooper H",
"The EXPRESS Study: Exercise and Protein Effectiveness Supplementation Study supporting autonomy in community dwelling frail older people-study protocol for a randomized controlled pilot and feasibility study.","/pubmed/28694987","Jadczak AD, Luscombe-Marsh N, Taylor P, Barnard R, Makwana N, Visvanathan R.","Pilot Feasibility Stud. 2017 Jul 6;4:8. doi: 10.1186/s40814-017-0156-5. eCollection 2018. Erratum in: Pilot Feasibility Stud. 2017 Oct 24;3:48. ","Pilot Feasibility Stud.  2018","PubMed","citation","PMID:28694987 | PMCID:PMC5500992","pubmed","28694987","create date:2017/07/12 | first author:Jadczak AD",
"Abnormal Alterations of Cortical Thickness in 16 Patients with Type 2 Diabetes Mellitus: A Pilot MRI Study.","/pubmed/28693687","Chen Z, Zang X, Liu M, Liu M, Li J, Gu Z, Ma L.","Chin Med Sci J. 2017 Jun 10;32(2):75-2. doi: 10.24920/J1001-9294.2017.010.","Chin Med Sci J.  2017","PubMed","citation","PMID:28693687","pubmed","28693687","create date:2017/07/12 | first author:Chen Z",
"Determining the impact of 24/7 phone support on hospital readmissions after aortic valve replacement surgery (the AVRre study): study protocol for a randomised controlled trial.","/pubmed/28693599","Lie I, Danielsen SO, Tønnessen T, Solheim S, Leegaard M, Sandvik L, Wisløff T, Vangen J, Røsstad TH, Moons P.","Trials. 2017 May 30;18(1):246. doi: 10.1186/s13063-017-1971-y.","Trials.  2017","PubMed","citation","PMID:28693599 | PMCID:PMC6389149","pubmed","28693599","create date:2017/07/12 | first author:Lie I",
"Apical periodontitis associates with cardiovascular diseases: a cross-sectional study from Sweden.","/pubmed/28693487","Virtanen E, Nurmi T, Söder PÖ, Airila-Månsson S, Söder B, Meurman JH.","BMC Oral Health. 2017 Jul 11;17(1):107. doi: 10.1186/s12903-017-0401-6.","BMC Oral Health.  2017","PubMed","citation","PMID:28693487 | PMCID:PMC5504601","pubmed","28693487","create date:2017/07/12 | first author:Virtanen E",
"The insertion torque-depth curve integral as a measure of implant primary stability: An in vitro study on polyurethane foam blocks.","/pubmed/28689908","Di Stefano DA, Arosio P, Gastaldi G, Gherlone E.","J Prosthet Dent. 2018 Nov;120(5):706-714. doi: 10.1016/j.prosdent.2017.04.012. Epub 2017 Jul 8.","J Prosthet Dent.  2018","PubMed","citation","PMID:28689908","pubmed","28689908","create date:2017/07/12 | first author:Di Stefano DA",
"Targeted spine strengthening exercise and posture training program to reduce hyperkyphosis in older adults: results from the study of hyperkyphosis, exercise, and function (SHEAF) randomized controlled trial.","/pubmed/28689306","Katzman WB, Vittinghoff E, Lin F, Schafer A, Long RK, Wong S, Gladin A, Fan B, Allaire B, Kado DM, Lane NE.","Osteoporos Int. 2017 Oct;28(10):2831-2841. doi: 10.1007/s00198-017-4109-x. Epub 2017 Jul 8.","Osteoporos Int.  2017","PubMed","citation","PMID:28689306 | PMCID:PMC5873977","pubmed","28689306","create date:2017/07/10 | first author:Katzman WB",
"Body size of young adult Polish college-age women born before, during, and after WWII.","/pubmed/28688197","Liczbińska G, Czapla Z, Malina RM, Piontek J.","Am J Hum Biol. 2017 Nov;29(6). doi: 10.1002/ajhb.23040. Epub 2017 Jul 8.","Am J Hum Biol.  2017","PubMed","citation","PMID:28688197","pubmed","28688197","create date:2017/07/09 | first author:Liczbińska G",
"Bariatric Surgery Promising in Migraine Control: a Controlled Trial on Weight Loss and Its Effect on Migraine Headache.","/pubmed/28685361","Razeghi Jahromi S, Abolhasani M, Ghorbani Z, Sadre-Jahani S, Alizadeh Z, Talebpour M, Meysamie A, Togha M.","Obes Surg. 2018 Jan;28(1):87-96. doi: 10.1007/s11695-017-2793-4.","Obes Surg.  2018","PubMed","citation","PMID:28685361","pubmed","28685361","create date:2017/07/08 | first author:Razeghi Jahromi S",
"The Relation of Combined Aerobic and Muscle-Strengthening Physical Activities With Presenteeism.","/pubmed/28682653","Walker TJ, Tullar JM, Diamond PM, Kohl HW 3rd, Amick BC 3rd.","J Phys Act Health. 2017 Nov 1;14(11):893-898. doi: 10.1123/jpah.2016-0696. Epub 2017 Sep 25.","J Phys Act Health.  2017","PubMed","citation","PMID:28682653 | PMCID:PMC5653426","pubmed","28682653","create date:2017/07/07 | first author:Walker TJ",
"Comparison of the Effect of Plastic Cover and Blanket on Body Temperature of Preterm Infants Hospitalized in NICU: Randomized Clinical Trial.","/pubmed/28680870","Valizadeh L, Mahallei M, Safaiyan A, Ghorbani F, Peyghami M.","J Caring Sci. 2017 Jun 1;6(2):163-172. doi: 10.15171/jcs.2017.016. eCollection 2017 Jun.","J Caring Sci.  2017","PubMed","citation","PMID:28680870 | PMCID:PMC5488671","pubmed","28680870","create date:2017/07/07 | first author:Valizadeh L",
"The response to growth hormone treatment in prepubertal children with growth hormone deficiency in Japan: Comparing three consecutive years of treatment data of The Foundation for Growth Science in Japan between the 1990s and 2000s.","/pubmed/28679975","Isojima T, Hasegawa T, Yokoya S, Tanaka T.","Endocr J. 2017 Sep 30;64(9):851-858. doi: 10.1507/endocrj.EJ17-0063. Epub 2017 Jul 4.","Endocr J.  2017","PubMed","citation","PMID:28679975","pubmed","28679975","create date:2017/07/07 | first author:Isojima T",
"Efficacy of two mouthwashes with cetylpyridinium chloride: a controlled randomized clinical trial.","/pubmed/28678966","Rösing CK, Cavagni J, Gaio EJ, Muniz FWMG, Ranzan N, Oballe HJR, Friedrich SA, Severo RM, Stewart B, Zhang YP.","Braz Oral Res. 2017 Jul 3;31:e47. doi: 10.1590/1807-3107BOR-2017.vol31.0047.","Braz Oral Res.  2017","PubMed","citation","PMID:28678966","pubmed","28678966","create date:2017/07/06 | first author:Rösing CK",
"Risk Factors for and Clinical Outcomes of Dysphagia After Anterior Cervical Surgery for Degenerative Cervical Myelopathy: Results from the AOSpine International and North America Studies.","/pubmed/28678119","Nagoshi N, Tetreault L, Nakashima H, Arnold PM, Barbagallo G, Kopjar B, Fehlings MG.","J Bone Joint Surg Am. 2017 Jul 5;99(13):1069-1077. doi: 10.2106/JBJS.16.00325.","J Bone Joint Surg Am.  2017","PubMed","citation","PMID:28678119","pubmed","28678119","create date:2017/07/06 | first author:Nagoshi N",
"Thought Field Therapy Compared to Cognitive Behavioral Therapy and Wait-List for Agoraphobia: A Randomized, Controlled Study with a 12-Month Follow-up.","/pubmed/28676782","Irgens AC, Hoffart A, Nysæter TE, Haaland VØ, Borge FM, Pripp AH, Martinsen EW, Dammen T.","Front Psychol. 2017 Jun 20;8:1027. doi: 10.3389/fpsyg.2017.01027. eCollection 2017.","Front Psychol.  2017","PubMed","citation","PMID:28676782 | PMCID:PMC5477545","pubmed","28676782","create date:2017/07/06 | first author:Irgens AC",
"See food diet? Cultural differences in estimating fullness and intake as a function of plate size.","/pubmed/28676448","Peng M, Adam S, Hautus MJ, Shin M, Duizer LM, Yan H.","Appetite. 2017 Oct 1;117:197-202. doi: 10.1016/j.appet.2017.06.032. Epub 2017 Jul 1.","Appetite.  2017","PubMed","citation","PMID:28676448","pubmed","28676448","create date:2017/07/06 | first author:Peng M",
"Evaluation on Hope and Psychological Symptoms in Infertile Couples Undergoing Assisted Reproduction Treatment.","/pubmed/28670431","Omani Samani R, Vesali S, Navid B, Vakiliniya B, Mohammadi M.","Int J Fertil Steril. 2017 Jul-Sep;11(2):123-129. doi: 10.22074/ijfs.2017.4838. Epub 2017 Feb 16.","Int J Fertil Steril.  2017","PubMed","citation","PMID:28670431 | PMCID:PMC5347450","pubmed","28670431","create date:2017/07/04 | first author:Omani Samani R",
"A Walking Intervention Among Men With Prostate Cancer: A Pilot Study.","/pubmed/28668276","Pernar CH, Fall K, Rider JR, Markt SC, Adami HO, Andersson SO, Valdimarsdottir U, Andrén O, Mucci LA.","Clin Genitourin Cancer. 2017 Dec;15(6):e1021-e1028. doi: 10.1016/j.clgc.2017.05.022. Epub 2017 May 31.","Clin Genitourin Cancer.  2017","PubMed","citation","PMID:28668276 | PMCID:PMC5705588","pubmed","28668276","create date:2017/07/03 | first author:Pernar CH",
"Evaluating Effectiveness of Abstinence Education.","/pubmed/28665180","Smith TE, Panisch LS, Malespin T, Pereira MG.","J Evid Inf Soc Work. 2017 Sep-Oct;14(5):360-367. doi: 10.1080/23761407.2017.1340860. Epub 2017 Jun 30.","J Evid Inf Soc Work.  2017","PubMed","citation","PMID:28665180","pubmed","28665180","create date:2017/07/01 | first author:Smith TE",
"Early identification of MCI converting to AD: a FDG PET study.","/pubmed/28664464","Pagani M, Nobili F, Morbelli S, Arnaldi D, Giuliani A, Öberg J, Girtler N, Brugnolo A, Picco A, Bauckneht M, Piva R, Chincarini A, Sambuceti G, Jonsson C, De Carli F.","Eur J Nucl Med Mol Imaging. 2017 Nov;44(12):2042-2052. doi: 10.1007/s00259-017-3761-x. Epub 2017 Jun 29.","Eur J Nucl Med Mol Imaging.  2017","PubMed","citation","PMID:28664464","pubmed","28664464","create date:2017/07/01 | first author:Pagani M",
"Maternal exposure to selenium and cadmium, fetal growth, and placental expression of steroidogenic and apoptotic genes.","/pubmed/28662449","Everson TM, Kappil M, Hao K, Jackson BP, Punshon T, Karagas MR, Chen J, Marsit CJ.","Environ Res. 2017 Oct;158:233-244. doi: 10.1016/j.envres.2017.06.016. Epub 2017 Jul 3.","Environ Res.  2017","PubMed","citation","PMID:28662449 | PMCID:PMC5554457","pubmed","28662449","create date:2017/07/01 | first author:Everson TM",
"Using Press Ganey Provider Feedback to Improve Patient Satisfaction: A Pilot Randomized Controlled Trial.","/pubmed/28662281","Newgard CD, Fu R, Heilman J, Tanski M, Ma OJ, Lines A, Keith French L.","Acad Emerg Med. 2017 Sep;24(9):1051-1059. doi: 10.1111/acem.13248. Epub 2017 Aug 16.","Acad Emerg Med.  2017","PubMed","citation","PMID:28662281","pubmed","28662281","create date:2017/07/01 | first author:Newgard CD",
"Family history of cardiometabolic diseases and its association with arterial stiffness in the Malmö Diet Cancer cohort.","/pubmed/28661959","Fatehali AA, Gottsäter M, Nilsson PM.","J Hypertens. 2017 Nov;35(11):2262-2267. doi: 10.1097/HJH.0000000000001457.","J Hypertens.  2017","PubMed","citation","PMID:28661959","pubmed","28661959","create date:2017/07/01 | first author:Fatehali AA",
"Structural Strength Benefits Observed at the Hip of Premenarcheal Gymnasts Are Maintained Into Young Adulthood 10 Years After Retirement From the Sport.","/pubmed/28661717","Erlandson MC, Runalls SB, Jackowski SA, Faulkner RA, Baxter-Jones ADG.","Pediatr Exerc Sci. 2017 Nov 1;29(4):476-485. doi: 10.1123/pes.2017-0039. Epub 2017 Oct 11.","Pediatr Exerc Sci.  2017","PubMed","citation","PMID:28661717","pubmed","28661717","create date:2017/07/01 | first author:Erlandson MC",
"Effects of phylogeny and locomotor style on the allometry of body mass and pelvic dimensions in birds.","/pubmed/28660634","Anten-Houston MV, Ruta M, Deeming DC.","J Anat. 2017 Sep;231(3):342-358. doi: 10.1111/joa.12647. Epub 2017 Jun 28.","J Anat.  2017","PubMed","citation","PMID:28660634","pubmed","28660634","create date:2017/07/01 | first author:Anten-Houston MV",
"Effectiveness of Cognitive Behavioral Therapy on Spiritual Well-Being and Emotional Intelligence of the Elderly Mourners.","/pubmed/28659981","Solaimani Khashab A, Ghamari Kivi H, Fathi D.","Iran J Psychiatry. 2017 Apr;12(2):93-99.","Iran J Psychiatry.  2017","PubMed","citation","PMID:28659981 | PMCID:PMC5483243","pubmed","28659981","create date:2017/07/01 | first author:Solaimani Khashab A",
"Health Status Benefits of Transcatheter vs Surgical Aortic Valve Replacement in Patients With Severe Aortic Stenosis at Intermediate Surgical Risk: Results From the PARTNER 2 Randomized Clinical Trial.","/pubmed/28658491","Baron SJ, Arnold SV, Wang K, Magnuson EA, Chinnakondepali K, Makkar R, Herrmann HC, Kodali S, Thourani VH, Kapadia S, Svensson L, Brown DL, Mack MJ, Smith CR, Leon MB, Cohen DJ; PARTNER 2 Investigators..","JAMA Cardiol. 2017 Aug 1;2(8):837-845. doi: 10.1001/jamacardio.2017.2039.","JAMA Cardiol.  2017","PubMed","citation","PMID:28658491 | PMCID:PMC5710586","pubmed","28658491","create date:2017/06/29 | first author:Baron SJ",
